,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,Alength,Clength,pair,label
2182,Organic Baby Spinach,"Bag of Organic Bananas, Limes",0.06754182156133828,0.004344795539033457,0.0010920074349442378,0.016167870657034743,3.7212040271592266,0.0007985520299263415,1.0120173704084021,1,2,"Bag of Organic Bananas, Limes, Organic Baby Spinach","Bag of Organic Bananas, Limes---Organic Baby Spinach"
1811,Bag of Organic Bananas,"Organic Raspberries, Organic Lemon",0.11273234200743494,0.0028810408921933085,0.0012081784386617101,0.010717230008244025,3.719915964151797,0.0008833919514655685,1.0079210811648078,1,2,"Bag of Organic Bananas, Organic Raspberries, Organic Lemon","Bag of Organic Bananas---Organic Raspberries, Organic Lemon"
1810,"Organic Raspberries, Organic Lemon",Bag of Organic Bananas,0.0028810408921933085,0.11273234200743494,0.0012081784386617101,0.41935483870967744,3.7199159641517965,0.0008833919514655685,1.528072077653862,2,1,"Bag of Organic Bananas, Organic Raspberries, Organic Lemon","Bag of Organic Bananas---Organic Raspberries, Organic Lemon"
2527,Bag of Organic Bananas,"Organic D'Anjou Pears, Organic Strawberries",0.11273234200743494,0.0024395910780669145,0.0010223048327137546,0.009068425391591096,3.7171907509912456,0.0007472840169428283,1.0066894975227163,1,2,"Bag of Organic Bananas, Organic D'Anjou Pears, Organic Strawberries","Bag of Organic Bananas---Organic D'Anjou Pears, Organic Strawberries"
2526,"Organic D'Anjou Pears, Organic Strawberries",Bag of Organic Bananas,0.0024395910780669145,0.11273234200743494,0.0010223048327137546,0.41904761904761906,3.7171907509912456,0.0007472840169428283,1.527264001462612,2,1,"Bag of Organic Bananas, Organic D'Anjou Pears, Organic Strawberries","Bag of Organic Bananas---Organic D'Anjou Pears, Organic Strawberries"
1718,Organic Zucchini,Organic Red Bell Pepper,0.024930297397769516,0.013289962825278811,0.0012314126394052044,0.049394221808014914,3.716656130449234,0.0009000899137657025,1.0379802645965448,1,1,"Organic Red Bell Pepper, Organic Zucchini",Organic Red Bell Pepper---Organic Zucchini
1719,Organic Red Bell Pepper,Organic Zucchini,0.013289962825278811,0.024930297397769516,0.0012314126394052044,0.09265734265734266,3.716656130449234,0.0009000899137657025,1.074643294582805,1,1,"Organic Red Bell Pepper, Organic Zucchini",Organic Red Bell Pepper---Organic Zucchini
2256,"Organic Blueberries, Bag of Organic Bananas",Organic Hass Avocado,0.004879182156133829,0.06022304832713755,0.0010920074349442378,0.2238095238095238,3.7163433274544384,0.0007981682121584831,1.2107555819098228,2,1,"Organic Blueberries, Bag of Organic Bananas, Organic Hass Avocado","Organic Blueberries, Bag of Organic Bananas---Organic Hass Avocado"
2257,Organic Hass Avocado,"Organic Blueberries, Bag of Organic Bananas",0.06022304832713755,0.004879182156133829,0.0010920074349442378,0.018132716049382713,3.716343327454438,0.0007981682121584831,1.0134982946370534,1,2,"Organic Blueberries, Bag of Organic Bananas, Organic Hass Avocado","Organic Blueberries, Bag of Organic Bananas---Organic Hass Avocado"
1281,Organic Cilantro,Organic Yellow Onion,0.014684014869888476,0.02646375464684015,0.0014405204460966542,0.0981012658227848,3.7070048121270043,0.0010519262793493732,1.0794296615143808,1,1,"Organic Cilantro, Organic Yellow Onion",Organic Cilantro---Organic Yellow Onion
1280,Organic Yellow Onion,Organic Cilantro,0.02646375464684015,0.014684014869888476,0.0014405204460966542,0.054433713784021065,3.7070048121270043,0.0010519262793493732,1.0420379824170818,1,1,"Organic Cilantro, Organic Yellow Onion",Organic Cilantro---Organic Yellow Onion
1601,Large Lemon,Bunched Cilantro,0.03759293680297398,0.009177509293680297,0.0012778810408921933,0.03399258343634116,3.703900736962338,0.0009328715140061635,1.025688285324904,1,1,"Bunched Cilantro, Large Lemon",Bunched Cilantro---Large Lemon
1600,Bunched Cilantro,Large Lemon,0.009177509293680297,0.03759293680297398,0.0012778810408921933,0.13924050632911392,3.703900736962338,0.0009328715140061635,1.118090558714192,1,1,"Bunched Cilantro, Large Lemon",Bunched Cilantro---Large Lemon
461,"Organic Hass Avocado, Organic Lemon",Bag of Organic Bananas,0.005855018587360595,0.11273234200743494,0.0024395910780669145,0.41666666666666663,3.696070348996977,0.0017795411202166914,1.521030270844397,2,1,"Bag of Organic Bananas, Organic Hass Avocado, Organic Lemon","Bag of Organic Bananas---Organic Hass Avocado, Organic Lemon"
464,Bag of Organic Bananas,"Organic Hass Avocado, Organic Lemon",0.11273234200743494,0.005855018587360595,0.0024395910780669145,0.021640560593569662,3.696070348996977,0.0017795411202166914,1.0161347060910315,1,2,"Bag of Organic Bananas, Organic Hass Avocado, Organic Lemon","Bag of Organic Bananas---Organic Hass Avocado, Organic Lemon"
289,Organic Strawberries,"Bag of Organic Bananas, Organic Raspberries",0.07144516728624535,0.011617100371747211,0.003066914498141264,0.042926829268292686,3.6951414634146347,0.0022369288187006815,1.0327140388572469,1,2,"Bag of Organic Bananas, Organic Raspberries, Organic Strawberries","Bag of Organic Bananas, Organic Raspberries---Organic Strawberries"
284,"Bag of Organic Bananas, Organic Raspberries",Organic Strawberries,0.011617100371747211,0.07144516728624535,0.003066914498141264,0.264,3.6951414634146342,0.0022369288187006815,1.2616234140132536,2,1,"Bag of Organic Bananas, Organic Raspberries, Organic Strawberries","Bag of Organic Bananas, Organic Raspberries---Organic Strawberries"
1479,Fresh Cauliflower,Organic Lemon,0.015520446096654275,0.023118029739776953,0.0013243494423791822,0.08532934131736528,3.6910300003009056,0.0009655473079421235,1.068014985489082,1,1,"Fresh Cauliflower, Organic Lemon",Fresh Cauliflower---Organic Lemon
1478,Organic Lemon,Fresh Cauliflower,0.023118029739776953,0.015520446096654275,0.0013243494423791822,0.057286432160804014,3.6910300003009056,0.0009655473079421235,1.044304004407067,1,1,"Fresh Cauliflower, Organic Lemon",Fresh Cauliflower---Organic Lemon
2462,Strawberries,Clementines,0.035803903345724905,0.007736988847583643,0.0010223048327137546,0.02855288773523686,3.690439303677461,0.0007452904318279184,1.0214277222350525,1,1,"Clementines, Strawberries",Clementines---Strawberries
2463,Clementines,Strawberries,0.007736988847583643,0.035803903345724905,0.0010223048327137546,0.13213213213213212,3.6904393036774605,0.0007452904318279184,1.11099411829022,1,1,"Clementines, Strawberries",Clementines---Strawberries
2258,Bag of Organic Bananas,"Organic Hass Avocado, Organic Blueberries",0.11273234200743494,0.00262546468401487,0.0010920074349442378,0.009686727122835944,3.689528631565124,0.0007960326522574313,1.007130332019388,1,2,"Bag of Organic Bananas, Organic Hass Avocado, Organic Blueberries","Bag of Organic Bananas---Organic Hass Avocado, Organic Blueberries"
2255,"Organic Hass Avocado, Organic Blueberries",Bag of Organic Bananas,0.00262546468401487,0.11273234200743494,0.0010920074349442378,0.41592920353982293,3.6895286315651235,0.0007960326522574313,1.5191097780781795,2,1,"Bag of Organic Bananas, Organic Hass Avocado, Organic Blueberries","Bag of Organic Bananas---Organic Hass Avocado, Organic Blueberries"
2031,Organic Sour Cream,Organic Hass Avocado,0.0051347583643122675,0.06022304832713755,0.0011384758364312267,0.22171945701357465,3.6816378973241717,0.0008292450353090753,1.2075041065098988,1,1,"Organic Hass Avocado, Organic Sour Cream",Organic Hass Avocado---Organic Sour Cream
2030,Organic Hass Avocado,Organic Sour Cream,0.06022304832713755,0.0051347583643122675,0.0011384758364312267,0.018904320987654318,3.6816378973241712,0.0008292450353090753,1.0140348825480543,1,1,"Organic Hass Avocado, Organic Sour Cream",Organic Hass Avocado---Organic Sour Cream
1220,Organic Large Extra Fancy Fuji Apple,Organic Cucumber,0.020236988847583643,0.019981412639405203,0.001486988847583643,0.07347876004592423,3.6773556190425336,0.0010826252228410332,1.057740011884855,1,1,"Organic Cucumber, Organic Large Extra Fancy Fuji Apple",Organic Cucumber---Organic Large Extra Fancy Fuji Apple
1221,Organic Cucumber,Organic Large Extra Fancy Fuji Apple,0.019981412639405203,0.020236988847583643,0.001486988847583643,0.07441860465116279,3.677355619042533,0.0010826252228410332,1.0585379266219574,1,1,"Organic Cucumber, Organic Large Extra Fancy Fuji Apple",Organic Cucumber---Organic Large Extra Fancy Fuji Apple
1806,Organic Raspberries,"Organic Hass Avocado, Organic Baby Spinach",0.037616171003717475,0.008736059479553903,0.0012081784386617101,0.03211859172328598,3.676553690878268,0.0008795613313801634,1.0241584682211884,1,2,"Organic Hass Avocado, Organic Baby Spinach, Organic Raspberries","Organic Hass Avocado, Organic Baby Spinach---Organic Raspberries"
1803,"Organic Hass Avocado, Organic Baby Spinach",Organic Raspberries,0.008736059479553903,0.037616171003717475,0.0012081784386617101,0.13829787234042554,3.6765536908782672,0.0008795613313801634,1.1168404929092661,2,1,"Organic Hass Avocado, Organic Baby Spinach, Organic Raspberries","Organic Hass Avocado, Organic Baby Spinach---Organic Raspberries"
2113,Organic Strawberries,"Organic Hass Avocado, Organic Garlic",0.07144516728624535,0.00425185873605948,0.0011152416356877324,0.015609756097560977,3.6712781554045053,0.0008114668770124792,1.0115380027706036,1,2,"Organic Hass Avocado, Organic Garlic, Organic Strawberries","Organic Hass Avocado, Organic Garlic---Organic Strawberries"
2108,"Organic Hass Avocado, Organic Garlic",Organic Strawberries,0.00425185873605948,0.07144516728624535,0.0011152416356877324,0.26229508196721313,3.6712781554045053,0.0008114668770124792,1.2587076621230897,2,1,"Organic Hass Avocado, Organic Garlic, Organic Strawberries","Organic Hass Avocado, Organic Garlic---Organic Strawberries"
2338,Organic AppleApple,Organic Strawberries,0.004089219330855019,0.07144516728624535,0.0010687732342007435,0.26136363636363635,3.658240946045824,0.0007766182750376584,1.2571203889047755,1,1,"Organic AppleApple, Organic Strawberries",Organic AppleApple---Organic Strawberries
2339,Organic Strawberries,Organic AppleApple,0.07144516728624535,0.004089219330855019,0.0010687732342007435,0.014959349593495935,3.658240946045824,0.0007766182750376584,1.0110352098242392,1,1,"Organic AppleApple, Organic Strawberries",Organic AppleApple---Organic Strawberries
1432,Apple Honeycrisp Organic,"Bag of Organic Bananas, Organic Strawberries",0.022908921933085503,0.016101301115241634,0.0013475836431226765,0.0588235294117647,3.653340123928359,0.0009787201928525033,1.0453923675650558,1,2,"Apple Honeycrisp Organic, Bag of Organic Bananas, Organic Strawberries","Apple Honeycrisp Organic---Bag of Organic Bananas, Organic Strawberries"
1429,"Bag of Organic Bananas, Organic Strawberries",Apple Honeycrisp Organic,0.016101301115241634,0.022908921933085503,0.0013475836431226765,0.0836940836940837,3.653340123928359,0.0009787201928525033,1.06633719228405,2,1,"Apple Honeycrisp Organic, Bag of Organic Bananas, Organic Strawberries","Apple Honeycrisp Organic---Bag of Organic Bananas, Organic Strawberries"
48,Large Lemon,Organic Avocado,0.03759293680297398,0.047560408921933084,0.006528810408921933,0.17367119901112485,3.6515917955245794,0.004740874961996103,1.1526157504594707,1,1,"Large Lemon, Organic Avocado",Large Lemon---Organic Avocado
49,Organic Avocado,Large Lemon,0.047560408921933084,0.03759293680297398,0.006528810408921933,0.13727405959941377,3.651591795524579,0.004740874961996103,1.115542048903914,1,1,"Large Lemon, Organic Avocado",Large Lemon---Organic Avocado
281,Organic Raspberries,Organic Blueberries,0.037616171003717475,0.022351301115241636,0.003066914498141264,0.08153180975911056,3.6477433389107263,0.0022261441332347533,1.0644339229955775,1,1,"Organic Blueberries, Organic Raspberries",Organic Blueberries---Organic Raspberries
280,Organic Blueberries,Organic Raspberries,0.022351301115241636,0.037616171003717475,0.003066914498141264,0.13721413721413722,3.6477433389107263,0.0022261441332347533,1.115437642764366,1,1,"Organic Blueberries, Organic Raspberries",Organic Blueberries---Organic Raspberries
2466,"Organic Raspberries, Organic Gala Apples",Bag of Organic Bananas,0.002486059479553903,0.11273234200743494,0.0010223048327137546,0.4112149532710281,3.6477105500381386,0.0007420455252138583,1.5069466572254677,2,1,"Bag of Organic Bananas, Organic Raspberries, Organic Gala Apples","Bag of Organic Bananas---Organic Raspberries, Organic Gala Apples"
2467,Bag of Organic Bananas,"Organic Raspberries, Organic Gala Apples",0.11273234200743494,0.002486059479553903,0.0010223048327137546,0.009068425391591096,3.647710550038138,0.0007420455252138583,1.0066426038696348,1,2,"Bag of Organic Bananas, Organic Raspberries, Organic Gala Apples","Bag of Organic Bananas---Organic Raspberries, Organic Gala Apples"
2403,Orange Bell Pepper,Large Lemon,0.00766728624535316,0.03759293680297398,0.001045539033457249,0.13636363636363635,3.627373862231711,0.000757303226185376,1.1143660731755038,1,1,"Large Lemon, Orange Bell Pepper",Large Lemon---Orange Bell Pepper
2402,Large Lemon,Orange Bell Pepper,0.03759293680297398,0.00766728624535316,0.001045539033457249,0.027812113720642764,3.6273738622317104,0.000757303226185376,1.020721125781957,1,1,"Large Lemon, Orange Bell Pepper",Large Lemon---Orange Bell Pepper
1477,Organic Hothouse Cucumbers,Organic Hass Avocado,0.006087360594795539,0.06022304832713755,0.0013243494423791822,0.21755725190839695,3.6125247384789367,0.0009577500310940976,1.2010807870160485,1,1,"Organic Hass Avocado, Organic Hothouse Cucumbers",Organic Hass Avocado---Organic Hothouse Cucumbers
1476,Organic Hass Avocado,Organic Hothouse Cucumbers,0.06022304832713755,0.006087360594795539,0.0013243494423791822,0.02199074074074074,3.6125247384789367,0.0009577500310940976,1.0162609709421262,1,1,"Organic Hass Avocado, Organic Hothouse Cucumbers",Organic Hass Avocado---Organic Hothouse Cucumbers
2267,Organic Zucchini,Small Hass Avocado,0.024930297397769516,0.01212825278810409,0.0010920074349442378,0.04380242311276794,3.611602089604468,0.0007896464860214756,1.0331251313434349,1,1,"Organic Zucchini, Small Hass Avocado",Organic Zucchini---Small Hass Avocado
2266,Small Hass Avocado,Organic Zucchini,0.01212825278810409,0.024930297397769516,0.0010920074349442378,0.0900383141762452,3.6116020896044674,0.0007896464860214756,1.0715502837018196,1,1,"Organic Zucchini, Small Hass Avocado",Organic Zucchini---Small Hass Avocado
1175,Organic Strawberries,"Organic Hass Avocado, Organic Lemon",0.07144516728624535,0.005855018587360595,0.0015102230483271376,0.021138211382113824,3.610272293199123,0.001091910265889084,1.015613228519557,1,2,"Organic Hass Avocado, Organic Lemon, Organic Strawberries","Organic Hass Avocado, Organic Lemon---Organic Strawberries"
1170,"Organic Hass Avocado, Organic Lemon",Organic Strawberries,0.005855018587360595,0.07144516728624535,0.0015102230483271376,0.25793650793650796,3.610272293199123,0.001091910265889084,1.2513145339244178,2,1,"Organic Hass Avocado, Organic Lemon, Organic Strawberries","Organic Hass Avocado, Organic Lemon---Organic Strawberries"
1652,"Organic Kiwi, Organic Strawberries",Bag of Organic Bananas,0.0030901486988847583,0.11273234200743494,0.001254646840148699,0.406015037593985,3.6015843400752505,0.0009062871401721923,1.4937544115571033,2,1,"Bag of Organic Bananas, Organic Kiwi, Organic Strawberries","Bag of Organic Bananas---Organic Kiwi, Organic Strawberries"
1653,Bag of Organic Bananas,"Organic Kiwi, Organic Strawberries",0.11273234200743494,0.0030901486988847583,0.001254646840148699,0.011129431162407256,3.6015843400752505,0.0009062871401721923,1.0081297620910818,1,2,"Bag of Organic Bananas, Organic Kiwi, Organic Strawberries","Bag of Organic Bananas---Organic Kiwi, Organic Strawberries"
794,Organic Red Onion,Large Lemon,0.013568773234200743,0.03759293680297398,0.0018355018587360595,0.13527397260273974,3.598387998035796,0.0013254118240488661,1.1129618314991352,1,1,"Large Lemon, Organic Red Onion",Large Lemon---Organic Red Onion
795,Large Lemon,Organic Red Onion,0.03759293680297398,0.013568773234200743,0.0018355018587360595,0.0488257107540173,3.5983879980357956,0.0013254118240488661,1.0370667478278515,1,1,"Large Lemon, Organic Red Onion",Large Lemon---Organic Red Onion
2230,"Organic Strawberries, Banana",Seedless Red Grapes,0.015776022304832715,0.019237918215613384,0.0010920074349442378,0.06921944035346096,3.598073324653333,0.0007885096080761736,1.0536985024234153,2,1,"Organic Strawberries, Banana, Seedless Red Grapes","Organic Strawberries, Banana---Seedless Red Grapes"
2235,Seedless Red Grapes,"Organic Strawberries, Banana",0.019237918215613384,0.015776022304832715,0.0010920074349442378,0.05676328502415458,3.5980733246533325,0.0007885096080761736,1.0434538457510865,1,2,"Organic Strawberries, Banana, Seedless Red Grapes","Organic Strawberries, Banana---Seedless Red Grapes"
2362,Bag of Organic Bananas,"Organic Hass Avocado, Organic Garnet Sweet Potato (Yam)",0.11273234200743494,0.002578996282527881,0.001045539033457249,0.009274525968672712,3.5961765557808425,0.0007548027424994126,1.0067582088698097,1,2,"Bag of Organic Bananas, Organic Hass Avocado, Organic Garnet Sweet Potato (Yam)","Bag of Organic Bananas---Organic Hass Avocado, Organic Garnet Sweet Potato (Yam)"
2359,"Organic Hass Avocado, Organic Garnet Sweet Potato (Yam)",Bag of Organic Bananas,0.002578996282527881,0.11273234200743494,0.001045539033457249,0.4054054054054054,3.5961765557808425,0.0007548027424994126,1.492222879351132,2,1,"Bag of Organic Bananas, Organic Hass Avocado, Organic Garnet Sweet Potato (Yam)","Bag of Organic Bananas---Organic Hass Avocado, Organic Garnet Sweet Potato (Yam)"
1308,Organic Italian Parsley Bunch,Limes,0.012081784386617101,0.03264405204460966,0.00141728624535316,0.11730769230769231,3.5935395565288806,0.0010228878470446789,1.0959152351564336,1,1,"Limes, Organic Italian Parsley Bunch",Limes---Organic Italian Parsley Bunch
1309,Limes,Organic Italian Parsley Bunch,0.03264405204460966,0.012081784386617101,0.00141728624535316,0.04341637010676157,3.59353955652888,0.0010228878470446789,1.0327567655779784,1,1,"Limes, Organic Italian Parsley Bunch",Limes---Organic Italian Parsley Bunch
1967,"Bag of Organic Bananas, Organic Baby Spinach",Organic Lemon,0.014010223048327138,0.023118029739776953,0.0011617100371747212,0.08291873963515754,3.5867563355750556,0.0008378212840825859,1.065207645690623,2,1,"Bag of Organic Bananas, Organic Baby Spinach, Organic Lemon","Bag of Organic Bananas, Organic Baby Spinach---Organic Lemon"
1970,Organic Lemon,"Bag of Organic Bananas, Organic Baby Spinach",0.023118029739776953,0.014010223048327138,0.0011617100371747212,0.05025125628140703,3.5867563355750556,0.0008378212840825859,1.0381585482189573,1,2,"Bag of Organic Bananas, Organic Baby Spinach, Organic Lemon","Bag of Organic Bananas, Organic Baby Spinach---Organic Lemon"
1698,"Bag of Organic Bananas, Organic Avocado",Organic Baby Spinach,0.005181226765799256,0.06754182156133828,0.001254646840148699,0.24215246636771304,3.585222618667482,0.0009046973464642558,1.2304033952178792,2,1,"Bag of Organic Bananas, Organic Avocado, Organic Baby Spinach","Bag of Organic Bananas, Organic Avocado---Organic Baby Spinach"
1703,Organic Baby Spinach,"Bag of Organic Bananas, Organic Avocado",0.06754182156133828,0.005181226765799256,0.001254646840148699,0.018575851393188857,3.585222618667482,0.0009046973464642558,1.0136481506455737,1,2,"Bag of Organic Bananas, Organic Avocado, Organic Baby Spinach","Bag of Organic Bananas, Organic Avocado---Organic Baby Spinach"
1695,"YoKids Squeezers Organic Low-Fat Yogurt, Strawberry",Organic Strawberries,0.004902416356877323,0.07144516728624535,0.001254646840148699,0.2559241706161138,3.582106114900012,0.0009043928834247732,1.2479303802713517,1,1,"Organic Strawberries, YoKids Squeezers Organic Low-Fat Yogurt, Strawberry","Organic Strawberries---YoKids Squeezers Organic Low-Fat Yogurt, Strawberry"
1694,Organic Strawberries,"YoKids Squeezers Organic Low-Fat Yogurt, Strawberry",0.07144516728624535,0.004902416356877323,0.001254646840148699,0.0175609756097561,3.5821061149000117,0.0009043928834247732,1.0128848294282033,1,1,"Organic Strawberries, YoKids Squeezers Organic Low-Fat Yogurt, Strawberry","Organic Strawberries---YoKids Squeezers Organic Low-Fat Yogurt, Strawberry"
1573,Organic Bread with 21 Whole Grains,Organic Hass Avocado,0.005924721189591078,0.06022304832713755,0.0012778810408921933,0.21568627450980393,3.581457274267732,0.0009210762703666339,1.1982156133828996,1,1,"Organic Bread with 21 Whole Grains, Organic Hass Avocado",Organic Bread with 21 Whole Grains---Organic Hass Avocado
1572,Organic Hass Avocado,Organic Bread with 21 Whole Grains,0.06022304832713755,0.005924721189591078,0.0012778810408921933,0.021219135802469136,3.581457274267732,0.0009210762703666339,1.0156259845000315,1,1,"Organic Bread with 21 Whole Grains, Organic Hass Avocado",Organic Bread with 21 Whole Grains---Organic Hass Avocado
306,"Bag of Organic Bananas, Organic Baby Spinach",Organic Hass Avocado,0.014010223048327138,0.06022304832713755,0.0030204460966542753,0.21558872305140964,3.5798374383227896,0.0021767077569408936,1.1980666001241778,2,1,"Bag of Organic Bananas, Organic Baby Spinach, Organic Hass Avocado","Bag of Organic Bananas, Organic Baby Spinach---Organic Hass Avocado"
307,Organic Hass Avocado,"Bag of Organic Bananas, Organic Baby Spinach",0.06022304832713755,0.014010223048327138,0.0030204460966542753,0.05015432098765432,3.579837438322789,0.0021767077569408936,1.0380526002675614,1,2,"Bag of Organic Bananas, Organic Baby Spinach, Organic Hass Avocado","Bag of Organic Bananas, Organic Baby Spinach---Organic Hass Avocado"
1924,Organic Gala Apples,"Bag of Organic Bananas, Organic Strawberries",0.020562267657992565,0.016101301115241634,0.0011849442379182156,0.0576271186440678,3.5790349010687996,0.0008538649747446829,1.0440651660827471,1,2,"Bag of Organic Bananas, Organic Strawberries, Organic Gala Apples","Bag of Organic Bananas, Organic Strawberries---Organic Gala Apples"
1921,"Bag of Organic Bananas, Organic Strawberries",Organic Gala Apples,0.016101301115241634,0.020562267657992565,0.0011849442379182156,0.0735930735930736,3.5790349010687996,0.0008538649747446829,1.0572435335093633,2,1,"Bag of Organic Bananas, Organic Strawberries, Organic Gala Apples","Bag of Organic Bananas, Organic Strawberries---Organic Gala Apples"
600,Organic Lemon,Organic Yellow Onion,0.023118029739776953,0.02646375464684015,0.0021840148698884757,0.09447236180904521,3.5698774822311727,0.0015722250029366644,1.075103844757374,1,1,"Organic Lemon, Organic Yellow Onion",Organic Lemon---Organic Yellow Onion
601,Organic Yellow Onion,Organic Lemon,0.02646375464684015,0.023118029739776953,0.0021840148698884757,0.08252853380158032,3.5698774822311723,0.0015722250029366644,1.0647546068195157,1,1,"Organic Lemon, Organic Yellow Onion",Organic Lemon---Organic Yellow Onion
948,Bag of Organic Bananas,"Organic Hass Avocado, Organic Cucumber",0.11273234200743494,0.0041589219330855015,0.0016728624535315986,0.01483924154987634,3.5680500352328366,0.0012040174437887813,1.0108411947239893,1,2,"Bag of Organic Bananas, Organic Hass Avocado, Organic Cucumber","Bag of Organic Bananas---Organic Hass Avocado, Organic Cucumber"
945,"Organic Hass Avocado, Organic Cucumber",Bag of Organic Bananas,0.0041589219330855015,0.11273234200743494,0.0016728624535315986,0.4022346368715084,3.568050035232836,0.0012040174437887813,1.4843075773894312,2,1,"Bag of Organic Bananas, Organic Hass Avocado, Organic Cucumber","Bag of Organic Bananas---Organic Hass Avocado, Organic Cucumber"
1584,Yellow Onions,Organic Zucchini,0.014381970260223049,0.024930297397769516,0.0012778810408921933,0.0888529886914378,3.564056508182184,0.0009193342451389561,1.070156287075852,1,1,"Organic Zucchini, Yellow Onions",Organic Zucchini---Yellow Onions
1585,Organic Zucchini,Yellow Onions,0.024930297397769516,0.014381970260223049,0.0012778810408921933,0.05125815470643057,3.5640565081821833,0.0009193342451389561,1.0388685126824957,1,1,"Organic Zucchini, Yellow Onions",Organic Zucchini---Yellow Onions
1448,Organic Yellow Onion,Organic Tomato Cluster,0.02646375464684015,0.01428903345724907,0.0013475836431226765,0.05092186128182616,3.5637022919834114,0.000969442167569547,1.0385983264497625,1,1,"Organic Tomato Cluster, Organic Yellow Onion",Organic Tomato Cluster---Organic Yellow Onion
1449,Organic Tomato Cluster,Organic Yellow Onion,0.01428903345724907,0.02646375464684015,0.0013475836431226765,0.0943089430894309,3.5637022919834114,0.000969442167569547,1.0749098579752125,1,1,"Organic Tomato Cluster, Organic Yellow Onion",Organic Tomato Cluster---Organic Yellow Onion
2319,"Organic Hass Avocado, Organic Cilantro",Bag of Organic Bananas,0.0026719330855018587,0.11273234200743494,0.0010687732342007435,0.4,3.5482275350370984,0.0007675599597849671,1.4787794299876085,2,1,"Bag of Organic Bananas, Organic Hass Avocado, Organic Cilantro","Bag of Organic Bananas---Organic Hass Avocado, Organic Cilantro"
2322,Bag of Organic Bananas,"Organic Hass Avocado, Organic Cilantro",0.11273234200743494,0.0026719330855018587,0.0010687732342007435,0.009480626545754328,3.548227535037098,0.0007675599597849671,1.0068738619785986,1,2,"Bag of Organic Bananas, Organic Hass Avocado, Organic Cilantro","Bag of Organic Bananas---Organic Hass Avocado, Organic Cilantro"
2529,Organic Strawberries,"Bag of Organic Bananas, Organic D'Anjou Pears",0.07144516728624535,0.00404275092936803,0.0010223048327137546,0.014308943089430894,3.5394075320063543,0.0007334698162684319,1.0104152229931354,1,2,"Bag of Organic Bananas, Organic D'Anjou Pears, Organic Strawberries","Bag of Organic Bananas, Organic D'Anjou Pears---Organic Strawberries"
2524,"Bag of Organic Bananas, Organic D'Anjou Pears",Organic Strawberries,0.00404275092936803,0.07144516728624535,0.0010223048327137546,0.2528735632183908,3.5394075320063543,0.0007334698162684319,1.2428349299399484,2,1,"Bag of Organic Bananas, Organic D'Anjou Pears, Organic Strawberries","Bag of Organic Bananas, Organic D'Anjou Pears---Organic Strawberries"
1464,Organic Small Bunch Celery,Organic Zucchini,0.015032527881040892,0.024930297397769516,0.0013243494423791822,0.08809891808346214,3.5338093516423212,0.0009495840516645707,1.0692713518366832,1,1,"Organic Small Bunch Celery, Organic Zucchini",Organic Small Bunch Celery---Organic Zucchini
1465,Organic Zucchini,Organic Small Bunch Celery,0.024930297397769516,0.015032527881040892,0.0013243494423791822,0.05312208760484623,3.533809351642321,0.0009495840516645707,1.0402264739996487,1,1,"Organic Small Bunch Celery, Organic Zucchini",Organic Small Bunch Celery---Organic Zucchini
1549,Yellow Onions,Organic Garlic,0.014381970260223049,0.02562732342007435,0.0013011152416356876,0.09046849757673667,3.530157874617177,0.0009325438383590606,1.0712907403249983,1,1,"Organic Garlic, Yellow Onions",Organic Garlic---Yellow Onions
1548,Organic Garlic,Yellow Onions,0.02562732342007435,0.014381970260223049,0.0013011152416356876,0.05077062556663644,3.5301578746171765,0.0009325438383590606,1.038334944415448,1,1,"Organic Garlic, Yellow Onions",Organic Garlic---Yellow Onions
908,Large Lemon,Organic Garnet Sweet Potato (Yam),0.03759293680297398,0.012964684014869889,0.0017193308550185874,0.04573547589616811,3.527696922170386,0.0012319503081770567,1.0343414127357127,1,1,"Large Lemon, Organic Garnet Sweet Potato (Yam)",Large Lemon---Organic Garnet Sweet Potato (Yam)
909,Organic Garnet Sweet Potato (Yam),Large Lemon,0.012964684014869889,0.03759293680297398,0.0017193308550185874,0.13261648745519714,3.527696922170386,0.0012319503081770567,1.1095519447602078,1,1,"Large Lemon, Organic Garnet Sweet Potato (Yam)",Large Lemon---Organic Garnet Sweet Potato (Yam)
786,Organic Raspberries,"Bag of Organic Bananas, Organic Baby Spinach",0.037616171003717475,0.014010223048327138,0.0018587360594795538,0.049413218035824574,3.5269401397377935,0.0013317251134934561,1.0372433066177766,1,2,"Bag of Organic Bananas, Organic Baby Spinach, Organic Raspberries","Bag of Organic Bananas, Organic Baby Spinach---Organic Raspberries"
783,"Bag of Organic Bananas, Organic Baby Spinach",Organic Raspberries,0.014010223048327138,0.037616171003717475,0.0018587360594795538,0.13266998341625205,3.5269401397377935,0.0013317251134934561,1.1095935925138782,2,1,"Bag of Organic Bananas, Organic Baby Spinach, Organic Raspberries","Bag of Organic Bananas, Organic Baby Spinach---Organic Raspberries"
71,Limes,Organic Avocado,0.03264405204460966,0.047560408921933084,0.0054368029739776955,0.16654804270462636,3.501821083540361,0.0038842385098671944,1.1427648381423434,1,1,"Limes, Organic Avocado",Limes---Organic Avocado
